Legajo;Estado;Estructura;Convenio;Categoria;ID_Cat;Ingreso;Sexo;provincia;puesto;piramide;Titulo ;ID_PuestoBasico;ID_Banco;Banco;Enero;Febrero;Marzo
231;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;8/9/2015;M;FORM                    ;Analista de Mantenimiento;6;NO;AMT     ;7;BANCO DE GALICIA Y BUENOS AIRES S.A.;487369;633580;760296
236;ACTI;Dentro de convenio;CC-781  ;27 Hs. CATEGORIA OP. A CCT 781;OP27;14/9/2015;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;226936;251899;251899
1420;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;2/2/2009;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;7;BANCO DE GALICIA Y BUENOS AIRES S.A.;481271;625652;750782
1444;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;2/2/2009;F;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;314974;349622;349622
1470;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;23/2/2009;F;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;262479;291351;291351
1514;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;27/9/2010;M;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;314974;349622;349622
1515;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;27/9/2010;F;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;314974;349622;349622
1516;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;8/11/2010;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;72;BANCO SANTANDER RIO S.A.;396802;515843;619012
1522;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;8/11/2010;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;72;BANCO SANTANDER RIO S.A.;446398;580317;696380
1527;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;8/11/2010;M;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;262479;291351;291351
